Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,P&C Deaths,Influenza Deaths,P/I/C Deaths
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,45-54 years,915.0,9276.0,644.0,322.0,14.0,1249.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,50-64 years,2577.0,25931.0,1894.0,874.0,53.0,3641.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,55-64 years,2012.0,20475.0,1517.0,676.0,43.0,2889.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,65-74 years,3158.0,29680.0,2689.0,1133.0,42.0,4752.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,75-84 years,3099.0,29480.0,2714.0,1126.0,46.0,4726.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,85 years and over,1823.0,19636.0,1576.0,585.0,30.0,2838.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,50-64 years,1986.0,17393.0,1546.0,721.0,40.0,2847.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,55-64 years,1556.0,13740.0,1263.0,574.0,33.0,2274.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,65-74 years,2323.0,22182.0,1896.0,813.0,40.0,3444.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,75-84 years,2531.0,28983.0,2200.0,900.0,38.0,3862.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,85 years and over,2393.0,33026.0,1870.0,694.0,28.0,3593.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,5-14 years,0.0,22.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,55-64 years,76.0,1142.0,82.0,37.0,0.0,121.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,65-74 years,152.0,1791.0,154.0,97.0,10.0,219.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,35-44 years,624.0,7436.0,560.0,354.0,13.0,841.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,40-49 years,935.0,8359.0,820.0,547.0,14.0,1218.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,45-54 years,1446.0,10788.0,1273.0,870.0,17.0,1863.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,50-64 years,3693.0,28277.0,3482.0,2216.0,52.0,5010.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,55-64 years,2827.0,22005.0,2720.0,1697.0,39.0,3889.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,65-74 years,4378.0,34435.0,4426.0,2701.0,44.0,6145.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,75-84 years,4915.0,40197.0,5004.0,2899.0,32.0,7051.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,85 years and over,3231.0,31735.0,3312.0,1732.0,31.0,4840.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,35-44 years,376.0,3403.0,340.0,208.0,12.0,520.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,40-49 years,549.0,4256.0,508.0,333.0,16.0,740.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,45-54 years,783.0,6032.0,744.0,473.0,18.0,1069.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,50-64 years,2205.0,17089.0,2274.0,1358.0,33.0,3149.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,55-64 years,1756.0,13477.0,1849.0,1097.0,23.0,2529.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,65-74 years,2922.0,24327.0,3038.0,1781.0,38.0,4215.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,75-84 years,3308.0,33923.0,3453.0,1840.0,45.0,4962.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,85 years and over,3103.0,42094.0,2982.0,1461.0,37.0,4659.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,50-64 years,1370.0,15292.0,1412.0,715.0,38.0,2104.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,55-64 years,1071.0,12095.0,1150.0,574.0,33.0,1680.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,65-74 years,1693.0,17862.0,1878.0,898.0,34.0,2704.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,75-84 years,1929.0,18549.0,2151.0,968.0,31.0,3141.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,85 years and over,1264.0,12976.0,1474.0,590.0,15.0,2162.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,45-54 years,306.0,3502.0,355.0,162.0,12.0,511.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,50-64 years,939.0,10118.0,1039.0,512.0,39.0,1502.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,55-64 years,775.0,8074.0,826.0,422.0,30.0,1206.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,65-74 years,1287.0,13232.0,1410.0,665.0,34.0,2062.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,75-84 years,1569.0,17501.0,1665.0,682.0,25.0,2575.0
